study_text_id,site_id,sample_years,longitude_dd,latitude_dd,
AD1_2008__Ohwaki_BA_1,1,"1992,1999,2000,2001,2002,2003,2004,2005",136.660647,36.564597,
AD1_2008__Ohwaki_BA_1,2,"1992,1999,2000,2001,2002,2003,2004,2005",136.659964,36.563889,
AD1_2008__Ohwaki_BA_1,3,"1992,1999,2000,2001,2002,2003,2004,2005",136.659042,36.5642,
AD1_2008__Ohwaki_BA_1,4,"1992,1999,2000,2001,2002,2003,2004,2005",136.658261,36.565083,
AD1_2008__Ohwaki_BA_1,5,"1999,2000,2001,2002,2003,2004,2005",136.657786,36.565889,
AD1_2008__Ohwaki_BA_1,6,"1999,2000,2001,2002,2003,2004,2005",136.657411,36.566664,
AD1_2016__Franca_BACI_1,7,"2012,2013",,,
AD1_2016__Franca_BACI_1,8,"2012,2013",,,
AD1_2016__Franca_BACI_1,9,"2012,2013",,,
AD1_2016__Franca_BACI_1,10,"2012,2013",,,
AD1_2016__Franca_BACI_1,11,"2012,2013",,,
AD1_2016__Franca_BACI_1,12,"2012,2013",,,
AD1_2016__Franca_BACI_1,13,"2012,2013",,,
AD1_2016__Franca_BACI_1,14,"2012,2013",,,
AD1_2016__Franca_BACI_1,15,"2012,2013",,,
AD1_2016__Franca_BACI_1,16,"2012,2013",,,
AD1_2016__Franca_BACI_1,17,"2012,2013",,,
AD1_2016__Franca_BACI_1,18,"2012,2013",,,
AD1_2016__Franca_BACI_1,19,"2012,2013",,,
AD1_2016__Franca_BACI_1,20,"2012,2013",,,
AD1_2016__Franca_BACI_1,21,"2012,2013",,,
AD1_2016__Franca_BACI_1,22,"2012,2013",,,
AD1_2016__Franca_BACI_1,23,"2012,2013",,,
AD1_2016__Franca_BACI_1,24,"2012,2013",,,
AD1_2016__Franca_BACI_1,25,"2012,2013",,,
AD1_2016__Franca_BACI_1,26,"2012,2013",,,
AD1_2016__Franca_BACI_1,27,"2012,2013",,,
AD1_2016__Franca_BACI_1,28,"2012,2013",,,
AD1_2016__Franca_BACI_1,29,"2012,2013",,,
AD1_2016__Franca_BACI_1,30,"2012,2013",,,
AD1_2016__Franca_BACI_1,31,"2012,2013",,,
AD1_2016__Franca_BACI_1,32,"2012,2013",,,
AD1_2016__Franca_BACI_1,33,"2012,2013",,,
AD1_2016__Franca_BACI_1,34,"2012,2013",,,
AD1_2016__Franca_BACI_1,35,"2012,2013",,,
AD1_2016__Franca_BACI_1,36,"2012,2013",,,
AD1_2016__Franca_BACI_1,37,"2012,2013",,,
AD1_2016__Franca_BACI_1,38,"2012,2013",,,
AD1_2016__Franca_BACI_1,39,"2012,2013",,,
AD1_2016__Franca_BACI_1,40,"2012,2013",,,
AR2_2003__Woltmann_ACI_1,41,1999,,,
AR2_2003__Woltmann_ACI_1,42,1999,,,
AR2_2003__Woltmann_ACI_1,43,1999,,,
AR2_2003__Woltmann_ACI_1,44,1999,,,
AR2_2003__Woltmann_ACI_1,45,1999,,,
AR2_2003__Woltmann_ACI_1,46,1999,,,
AR2_2003__Woltmann_ACI_1,47,1999,,,
